Seedlot,LAT,LONG,ELEVATION,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD
Pi_1,55.06,-118.73,670,1.5,15.5,-15.1,30.6,469,300,24.5,51.7,1665,1244,149,150,249,100,134,-47.2,33.7,554,208
Pi_2,49.66,-110.25,1160,3.4,16.9,-10.4,27.3,432,257,31,65.7,1179,1405,151,149,248,99,128,-42.5,37.4,660,350
Pi_3,54.71,-115.41,1160,1.8,13.8,-9.9,23.7,668,472,17.7,29.2,1305,1031,151,146,258,112,163,-41.2,29.6,462,35
Pi_5,54.65,-118.83,1021,2,14.1,-11.2,25.3,607,387,19.8,36.4,1296,1074,153,148,255,107,174,-43.6,31.1,490,64
Pi_6,54.41,-119,1189,2.1,13.7,-9.6,23.3,687,428,17.6,32,1206,1001,153,151,258,107,202,-42.5,30.1,463,35
Pi_7,55.63,-113.45,914,-0.7,13.9,-19,32.9,504,339,18.5,41,2054,930,136,160,244,83,149,-46.3,31.2,470,94
Pi_8,59.7,-117.98,731,-3.9,14,-24.4,38.4,405,240,15.1,58.3,3031,843,123,156,239,82,168,-49.3,32.2,384,144
Pi_9,49.91,-114.08,1432,2.9,15.3,-10.2,25.5,639,320,20.2,47.8,1114,1178,147,163,255,92,237,-42.2,33.7,584,178
Pi_10,51.33,-114.58,1371,2.4,13.8,-10.3,24.1,518,346,23.9,39.9,1134,1015,135,164,243,79,128,-43.5,32.8,562,152
Pi_11,52.16,-115.66,1676,0.5,12.2,-12.3,24.5,686,442,15.3,27.6,1476,765,126,164,244,80,226,-46,30.5,435,5
Pi_12,53.08,-115.5,975,2.3,14.9,-11.9,26.8,594,431,20.7,34.6,1321,1182,153,146,253,107,125,-44.9,32.1,527,64
Pi_13,55.25,-116.16,792,1.2,14.8,-15,29.8,569,383,19.7,38.6,1642,1139,152,146,252,107,150,-46.8,31.8,496,84
Pi_14,56.16,-118.5,609,1,15.8,-17,32.8,430,269,25.6,58.7,1821,1269,156,142,253,111,132,-45.7,33.8,520,211
Pi_15,56.25,-118.91,609,1,15.6,-16.4,32,402,250,27.4,62.3,1790,1241,155,143,253,111,126,-46.2,33.4,509,223
Pi_16,55.08,-119.41,701,1.5,15.2,-14.5,29.7,477,296,24.1,51.4,1593,1204,151,148,251,103,147,-46.3,33.5,534,194
Pi_17,52.63,-116.08,1520,1.1,12.7,-11.3,24,579,400,19.2,31.8,1342,843,131,162,245,83,156,-45.1,30.5,493,35
Pi_18,53.2,-117.53,1360,1.5,13.5,-11.2,24.7,701,439,16.4,30.8,1335,944,141,155,252,97,220,-44.6,30.7,490,29
Pi_19,53.73,-116.58,1000,2.2,14.4,-11.8,26.2,587,429,20.8,33.6,1286,1108,148,153,251,98,124,-44.7,31.8,525,68
Pi_20,53.5,-116.16,1090,1.8,14,-11.9,25.9,579,425,20.4,33,1340,1048,145,154,250,96,126,-45.4,31.5,511,63
Pi_21,50.66,-115.08,1860,0,11.9,-12.3,24.2,805,400,12.4,29.7,1522,695,117,175,240,65,383,-45.5,30.2,492,49
Pi_22,58.75,-115.41,825,-3.8,14.1,-25.2,39.3,449,272,13.8,51.8,3024,865,127,155,239,85,177,-47.1,32.7,386,119
Pi_23,54.03,-116.06,990,2.3,14.7,-11.6,26.3,618,437,19.9,33.7,1283,1145,152,148,256,108,142,-44.3,31.5,513,58
Pi_24,52.96,-115.91,1067,2.3,14.4,-11.4,25.8,612,441,20.1,32.6,1263,1108,147,153,251,98,131,-44.5,32.1,535,56
Pi_25,53.88,-116.83,1069,2.3,14.7,-11.8,26.5,687,475,17.9,31,1290,1136,151,148,257,110,164,-44.5,31.5,512,41
Pi_26,58.63,-118.8,625,-1.4,14.9,-20.9,35.8,400,249,21.5,59.9,2378,1038,140,149,248,98,139,-47.1,32.5,459,176
Pi_27,56.55,-119.86,945,0.2,13.7,-14.7,28.4,476,279,21.4,49,1742,950,144,151,249,98,174,-47,30.7,447,128
Pi_28,57.76,-116.53,755,-0.6,14.8,-19.2,34,418,263,22.5,56.3,2145,1052,144,148,249,101,136,-46.6,31.9,463,166
Pi_29,53.68,-115.83,835,2.2,15.3,-12.9,28.2,576,415,21.2,36.9,1393,1228,151,149,251,102,124,-45.8,32.8,552,96
Pi_30,49.66,-110.16,1299,2.8,16.2,-10.6,26.8,437,261,29.3,62.1,1242,1297,149,150,248,98,135,-43.1,36.3,625,312
Pi_31,49.63,-114.63,1364,2.3,14.1,-9.5,23.6,645,291,19.1,48.5,1129,1011,146,160,250,90,278,-41.1,32.6,544,176
Pi_32,49.86,-114,1662,2.2,14.4,-10.2,24.6,685,335,17.8,43,1180,1034,141,168,254,86,283,-42.5,32.4,545,130
Pi_33,55.71,-119.66,791,1.1,14.7,-14.9,29.6,522,319,21.3,46.1,1644,1120,149,149,250,101,169,-46.6,32.6,503,146
Pi_34,56.7,-119.2,1025,-0.4,13.7,-16.8,30.5,511,313,18.8,43.8,1935,939,140,152,245,93,178,-47,31.1,458,107
Pi_35,56.33,-119.95,742,0.7,14.8,-14.8,29.6,476,275,22.5,53.8,1742,1095,147,150,248,98,171,-47.3,32.9,494,177
Pi_36,54.76,-119.4,1016,2.1,14.1,-11.6,25.7,639,400,18.9,35.2,1286,1077,153,149,255,106,187,-43.7,31.2,492,53
Pi_37,54.55,-119.2,1162,2.1,13.6,-9.9,23.5,647,402,18.7,33.8,1216,999,152,151,256,105,194,-42.5,30.3,469,42
Pi_38,52.65,-115.1,940,2.6,15.3,-12,27.3,564,400,22.3,38.3,1300,1246,153,148,253,104,121,-44.7,33.2,559,108
Pi_39,52.5,-115.51,1152,2.2,14.3,-11.8,26.1,607,434,20.1,33,1275,1097,143,156,248,92,132,-44.8,32.9,549,60
Pi_40,52.07,-115.48,1655,0.5,12.1,-12.2,24.3,677,442,15.5,27.4,1461,760,126,166,247,81,214,-46.2,30.2,476,3
Pi_41,52.17,-115.43,1476,0.9,12.8,-12.5,25.3,618,409,17.6,31.3,1427,856,130,164,250,87,183,-46.2,31.3,497,23
Pi_42,51.95,-115.21,1392,1.6,13.1,-11.2,24.3,666,464,17.4,28.2,1273,919,127,168,241,72,163,-45.4,32.5,542,29
Pi_43,57.72,-119.54,964,-1.7,13.7,-20.1,33.8,511,318,16.2,43.1,2332,891,132,155,241,85,182,-47.7,31.5,451,96
Pi_44,53.94,-119.31,1393,1.3,12.2,-9.7,21.9,651,379,17.4,32.2,1253,792,135,164,249,85,233,-42.8,29.3,453,37
Pi_45,53.91,-118.91,1207,2.1,13.2,-9.1,22.3,581,366,20.8,36.1,1172,972,141,161,251,90,167,-43.5,31.3,501,87
Pi_46,53.83,-119.61,1713,0.1,10.6,-9.9,20.5,741,415,13.6,25.5,1384,573,123,170,246,76,316,-43.6,27.2,355,0
Pi_47,54.26,-116.86,900,2.5,15.1,-11.9,27,623,441,20.1,34.3,1297,1208,156,146,255,109,141,-44.2,32,524,58
Pi_48,58.56,-119.3,645,-1.9,14.9,-22.4,37.3,416,258,19.5,57.8,2552,1024,136,151,245,94,147,-47.2,33.2,466,173
Pi_49,57.28,-118.4,699,-0.8,15,-20.7,35.7,443,278,20.8,53.9,2243,1098,142,149,246,96,146,-45.4,33.4,494,178
Pi_50,57.23,-118.25,725,-0.7,14.9,-20.4,35.3,445,280,20.9,53.2,2204,1084,142,149,245,96,145,-45.2,33.2,492,174
Pi_51,54.36,-116.18,940,2.3,14.7,-11.5,26.2,622,442,19.8,33.2,1281,1143,154,148,254,107,140,-44.4,31.3,509,56
Pi_52,55.01,-115.17,902,1.9,14.6,-11.7,26.3,640,451,18.6,32.4,1367,1097,155,144,256,112,149,-43.8,30.7,471,48
Pi_53,54.83,-116.44,905,2.3,14.8,-12.1,26.9,628,436,19.6,33.9,1314,1167,156,145,256,111,149,-44.7,31.5,504,54
Pi_54,52.5,-116.02,1586,0.2,11.7,-12,23.7,602,420,16.9,27.9,1468,690,119,170,241,71,178,-46.4,29.6,426,9
Pi_55,55.52,-113.97,853,-0.1,14.6,-18.6,33.2,578,386,17.1,37.8,1969,1043,140,154,244,90,164,-45.9,32.3,500,77
Pi_56,49.73,-114.44,2042,0.1,11.6,-10.6,22.2,720,332,14,34.9,1432,643,123,177,243,66,379,-42.9,29.2,407,68
Pi_57,56.63,-119.2,1030,-0.3,13.7,-16.7,30.4,522,319,18.6,43,1920,943,140,152,244,92,182,-47,31.1,461,104
Pi_58,57.32,-118.96,992,-1.5,13.5,-19.8,33.3,454,286,18.7,47.1,2267,885,136,153,244,91,158,-47,31.1,441,119
Pi_59,54.74,-117.39,809,1.8,15.1,-14.1,29.2,584,386,20.2,39.1,1515,1201,153,146,252,106,158,-46,32.6,524,90
Pi_60,54.4,-115.56,1039,2.1,14.2,-10.7,24.9,589,409,20.5,34.7,1272,1073,152,147,255,107,144,-43.8,30.4,485,52
Pi_61,52.13,-116.85,1748,-1.4,10.7,-13.4,24.1,1090,383,7.9,27.9,1770,506,106,174,235,61,708,-46.3,30.2,356,14
Pi_62,52.1,-116.56,1944,-1.3,10.4,-13.1,23.5,1030,446,8.4,23.3,1732,518,108,174,236,62,593,-46,28.6,359,0
Pi_63,54.73,-115.9,1272,1.3,13.5,-9.9,23.4,789,561,14.3,24.1,1365,953,148,147,258,111,199,-42.9,29.2,445,22
