Seedlot,LAT,LONG,ELEVATION,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD
Pi_64,51.57,-114.62,1200,2.7,14.4,-10.6,25,512,365,24.8,39.5,1146,1121,142,159,246,87,102,-43.9,33.4,576,155
Pi_65,51.13,-114.62,1263,2.8,14.6,-10.4,25,502,324,25.5,45,1114,1121,141,160,246,85,124,-43,33.5,584,193
Pi_66,53.05,-117.39,1707,-0.1,11.7,-12,23.7,934,533,10.6,22,1549,682,126,162,247,86,381,-46.5,28.8,390,0
Pi_67,49.57,-114.73,1500,2.3,13.9,-9.1,23,771,297,16,46.8,1117,978,146,160,250,90,376,-41,32,529,154
Pi_68,53.33,-117.03,1140,2.1,13.9,-11.4,25.3,614,425,19.7,32.7,1261,1036,139,162,247,85,149,-44.6,31.9,536,70
Pi_69,52.95,-116.4,1330,1.6,13.5,-10.9,24.4,643,449,18,30.1,1288,948,138,158,248,90,161,-45.1,30.8,508,28
Pi_70,53.27,-116.66,1060,2.2,14.4,-11.5,25.9,600,425,20.3,33.9,1268,1102,144,157,249,93,136,-44.7,32.2,541,74
Pi_71,53.03,-117.37,1700,-0.2,11.6,-11.9,23.5,903,522,10.9,22.2,1554,668,125,162,247,85,367,-46.6,28.7,387,0
Pi_72,53.12,-117.15,1400,1.3,13.4,-11.2,24.6,701,467,16.1,28.7,1373,925,137,156,250,93,201,-46.1,30.6,492,22
Pi_73,50.15,-114.48,1872,0,12.6,-12.1,24.7,853,380,11.7,33.1,1547,734,125,175,245,70,457,-44.3,30.3,429,62
Pi_74,52.93,-117.32,1870,-0.9,10.7,-12.4,23.1,1051,559,8.7,19.2,1676,559,119,165,245,80,497,-46.7,27.9,364,0
Pi_75,53.05,-116.03,1245,1.9,13.7,-11.2,24.9,632,455,18.8,30.1,1266,998,141,157,249,92,142,-44.8,31.2,513,40
Pi_76,53.75,-116.89,1219,1.9,13.6,-11.1,24.7,634,443,18.8,30.7,1261,988,145,153,254,100,153,-44.3,30.4,486,40
Pi_77,56.46,-117.39,634,0.3,15.3,-18.8,34.1,411,262,25.1,58.4,1962,1185,142,150,243,94,123,-44.8,34.1,541,240
Pi_78,53.67,-117.45,1219,1.9,13.5,-10.9,24.4,624,419,19.1,32.2,1245,976,142,158,251,93,162,-44.3,30.9,499,45
Pi_79,52.27,-115.06,1067,2.3,14.7,-12,26.7,582,409,21.1,35.9,1293,1158,144,155,248,93,130,-45.1,33.8,564,101
Pi_80,54.37,-116.77,915,2,14.7,-12.5,27.2,604,423,19.9,34.8,1368,1141,153,148,253,105,144,-45,31.5,510,57
Pi_81,53.58,-117.01,1097,2,13.9,-12.4,26.3,597,419,20.1,33.2,1263,1028,145,157,250,93,141,-44.2,31.3,512,54
Pi_82,50.89,-114.7,1371,2.1,13.9,-11,24.9,615,388,19.7,35.8,1202,1008,128,171,239,68,170,-44.2,33.5,581,106
Pi_83,51.7,-115.21,1828,0.5,12.2,-11.9,24.1,695,416,15.1,29.3,1437,757,126,167,248,82,256,-45.6,30.2,474,13
Pi_84,49.39,-114.33,1370,3,14.9,-9.4,24.3,810,325,16,45.9,1036,1131,148,161,252,91,364,-40.7,33.4,581,171
Pi_85,50.96,-114.9,1737,1,13,-12.2,25.2,772,392,14.2,33.2,1409,865,126,176,241,65,338,-44.4,32.2,519,68
Pi_86,57.68,-115.71,639,-1.8,15.6,-23.5,39.1,446,280,18.4,55.8,2591,1106,138,150,244,94,149,-45.6,34.4,497,181
Pi_87,49.04,-113.53,1400,3.6,15.2,-8.4,23.6,730,350,18.6,43.5,929,1193,153,155,253,98,265,-39.9,34.2,597,157
Pi_88,49.61,-110.32,1458,2.8,15.8,-9.7,25.5,437,260,29.3,60.8,1170,1226,146,153,247,93,138,-42.5,35.8,613,300
Pi_89,55.65,-119.27,895,1.3,14.8,-13.9,28.7,542,335,20.8,44.2,1593,1138,153,141,253,112,173,-45.2,31.9,481,102
Pi_90,53.76,-117.69,1270,1.9,13.2,-10.2,23.4,603,398,19.7,33.1,1187,928,142,160,249,89,163,-43.3,30.5,487,47
Pi_91,53.76,-117.2,1130,2,13.8,-11.4,25.2,595,417,20.2,33.1,1263,1015,145,156,250,94,142,-44.3,31,504,49
Pi_92,52.07,-115.98,1738,-0.2,11.7,-13,24.7,795,445,12.3,26.3,1595,683,120,169,240,71,338,-46.2,29.7,419,3
Pi_93,52.04,-115.93,1879,-0.6,11.2,-12.9,24.1,838,482,11.2,23.2,1626,621,116,171,239,69,358,-46.5,29.1,405,0
Pi_94,49.64,-110.3,1398,2.8,15.7,-9.6,25.3,427,256,30,61.4,1166,1217,146,154,247,93,133,-42.5,35.6,610,302
Pi_95,58.65,-117.47,782,-2.5,13.9,-21.4,35.3,436,269,17.2,51.6,2594,896,131,155,241,87,161,-49.5,31.5,404,121
Pi_96,51.03,-114.77,1403,2.2,13.7,-10.7,24.4,575,341,21.2,40.2,1177,998,131,169,241,73,177,-43.6,33.1,569,143
Pi_97,51.48,-115.17,1744,0.7,12.3,-11.8,24.1,661,391,16.2,31.5,1409,784,125,170,244,74,242,-45.2,30.7,497,32
Pi_98,51.46,-114.73,1388,2.2,13.5,-10.4,23.9,529,357,23.1,37.8,1161,974,133,166,242,77,130,-43.8,32.5,553,130
Pi_99,56.92,-115.78,777,-1.2,14.8,-21.3,36.1,463,294,19,50.3,2323,1030,135,154,242,88,149,-45.7,33.3,495,162
Pi_100,56.87,-116.1,749,-1,14.9,-21,35.9,456,289,19.7,51.6,2285,1058,136,153,242,89,146,-45.9,33.6,507,178
Pi_101,54.59,-117.15,813,1.8,15,-13.9,28.9,591,397,20,37.8,1500,1191,153,146,253,106,155,-46,32.3,522,80
Pi_102,55.91,-116.56,723,0.6,15.2,-17.6,32.8,500,324,21.2,47,1856,1174,144,149,246,97,144,-45.8,33.6,532,165
Pi_103,55.06,-128.25,152,5.3,15.3,-5.3,20.6,830,254,18.4,60.3,603,1374,197,136,277,140,268,-32.8,33.1,540,232
Pi_104,50.91,-120.08,1402,2.8,13.7,-8.1,21.8,528,254,24.2,54,964,999,151,159,253,94,202,-38.4,32.8,529,214
Pi_105,55.58,-123.58,732,2.4,14.7,-10.9,25.6,824,351,15,41.8,1242,1121,161,150,258,108,349,-40.6,32.2,491,124
Pi_106,54.96,-127.3,427,3.8,14.8,-8.4,23.2,535,234,25.8,63.3,893,1217,167,151,258,108,187,-38.1,33.2,534,262
Pi_107,50.35,-118.03,700,5.8,17.3,-6.1,23.4,862,325,18.3,53.3,630,1595,187,138,265,127,273,-34.8,36.8,679,242
Pi_108,49.25,-115.7,1400,2.1,13.9,-9.6,23.5,775,266,15.6,52.3,1146,963,143,161,250,89,413,-41.5,32.1,537,192
Pi_109,49.58,-115.83,989,4.9,17,-7.8,24.8,411,189,36.3,90.1,796,1487,171,145,258,114,134,-37.8,35.9,681,421
Pi_110,51.5,-117,1400,0.9,12.5,-11,23.5,763,294,14.3,42.5,1355,789,128,168,243,74,418,-43.6,31.2,492,142
Pi_111,52.16,-124.18,1370,1.3,12.3,-10.5,22.8,358,186,31.6,66.2,1248,806,113,181,235,54,142,-45.1,32.5,540,311
Pi_112,49.1,-115.93,1300,3.4,15.2,-8.7,23.9,900,270,14.9,56.3,972,1176,155,155,254,99,457,-39.6,33.9,588,231
Pi_113,50.46,-118.95,1082,4.6,15.9,-7.1,23,667,277,21.9,57.4,776,1357,167,149,258,109,235,-36.7,35.3,646,269
Pi_114,51.21,-119.75,1650,1.5,12.3,-9.3,21.6,738,324,15.6,38,1159,792,128,171,243,72,344,-40.5,31.8,509,124
Pi_115,54.81,-128.28,200,5.2,14.9,-5,19.9,982,294,15.5,50.8,585,1322,198,137,278,141,310,-32,32.9,539,203
Pi_116,56.91,-125.05,680,1.1,14.6,-14.7,29.3,460,240,24.1,60.8,1600,1072,150,159,253,94,180,-46.2,32.4,483,208
Pi_117,52.47,-123.79,1400,0.5,11.2,-11.3,22.5,449,247,23.4,45.3,1345,659,102,183,231,48,180,-45.7,31,508,216
Pi_118,53.38,-132.03,50,7.5,14.2,2.2,12,1530,380,11.4,37.4,140,1412,281,113,307,195,96,-18.2,31.2,460,34
Pi_119,51.31,-120.32,1350,2.4,13.1,-8.8,21.9,649,304,19.1,43.1,1026,926,139,165,246,81,263,-39.6,32.7,534,168
Pi_120,49.81,-119.98,1280,3.4,14.2,-6.9,21.1,580,191,23.1,74.2,857,1073,163,151,259,108,273,-36.6,32.7,531,281
Pi_121,51.68,-119.58,1000,3.3,14.6,-8.4,23,602,255,22.1,57.3,944,1116,156,157,254,97,243,-38.5,33.2,551,241
Pi_122,55.41,-120.75,1050,1.9,14.4,-11,25.4,659,369,18.1,39,1338,1076,151,150,253,103,234,-42.7,31.5,491,93
Pi_123,50.2,-118.46,1400,2.8,14.1,-8.5,22.6,606,293,21.1,48.2,1008,1045,143,164,249,85,233,-38.9,34.3,571,212
Pi_124,50.56,-120.33,1100,4.4,15.7,-7.1,22.8,411,204,35,76.8,802,1321,166,150,257,107,128,-37.1,35.1,637,365
Pi_125,53.01,-121.11,1030,2.4,13.2,-9.1,22.3,689,313,18,42.1,1058,950,141,166,248,82,281,-40.6,32.2,522,149
Pi_126,53.25,-125.2,1240,1.3,11.3,-10.1,21.4,652,303,17.3,37.3,1182,705,128,173,247,74,285,-41.5,29.9,466,115
Pi_127,50.83,-116.5,1440,1.2,12.9,-10.8,23.7,808,300,13.9,43,1308,848,130,167,244,77,435,-43.2,31.9,518,155
