#CHROM	#CHRO
POS	PO
Pi_184A5	Pi_184
Pi_184A6	Pi_184
Pi_185A3	Pi_185
Pi_185A4	Pi_185
Pi_186A3	Pi_186
Pi_186A4	Pi_186
Pi_187A2	Pi_187
Pi_187A3	Pi_187
Pi_187A4	Pi_187
Pi_188A2	Pi_188
Pi_188A3	Pi_188
Pi_189A4	Pi_189
Pi_189A5	Pi_189
Pi_189A6	Pi_189
Pi_18A3	Pi_18
Pi_18A4	Pi_18
Pi_190A4	Pi_190
Pi_190A5	Pi_190
Pi_190A6	Pi_190
Pi_191A3	Pi_191
Pi_191A4	Pi_191
Pi_192A2	Pi_192
Pi_192A3	Pi_192
Pi_193A3	Pi_193
Pi_193A4	Pi_193
Pi_194A2	Pi_194
Pi_194A3	Pi_194
Pi_195A3	Pi_195
Pi_195A4	Pi_195
Pi_195A5	Pi_195
Pi_196A4	Pi_196
Pi_196A5	Pi_196
Pi_196A6	Pi_196
Pi_197A2	Pi_197
Pi_197A3	Pi_197
Pi_198A4	Pi_198
Pi_198A5	Pi_198
Pi_198A6	Pi_198
Pi_199A4	Pi_199
Pi_199A5	Pi_199
Pi_199A6	Pi_199
Pi_19A2	Pi_19
Pi_19A3	Pi_19
Pi_1A2	Pi_1
Pi_1A3	Pi_1
Pi_200A5	Pi_200
Pi_200A6	Pi_200
Pi_201A4	Pi_201
Pi_201A5	Pi_201
Pi_201A6	Pi_201
Pi_202A4	Pi_202
Pi_202A5	Pi_202
Pi_202A6	Pi_202
Pi_203A2	Pi_203
Pi_203A3	Pi_203
Pi_204A2	Pi_204
Pi_204A3	Pi_204
Pi_205A5	Pi_205
Pi_205A6	Pi_205
Pi_206A3	Pi_206
Pi_207A4	Pi_207
Pi_207A5	Pi_207
Pi_207A6	Pi_207
Pi_208A3	Pi_208
Pi_208A4	Pi_208
Pi_209A2	Pi_209
Pi_209A3	Pi_209
Pi_20A3	Pi_20
Pi_20A4	Pi_20
Pi_210A2	Pi_210
Pi_210A3	Pi_210
Pi_211A3	Pi_211
Pi_211A4	Pi_211
Pi_212A4	Pi_212
Pi_213A3	Pi_213
Pi_213A4	Pi_213
Pi_214A3	Pi_214
Pi_214A4	Pi_214
Pi_214A5	Pi_214
Pi_215A3	Pi_215
Pi_215A4	Pi_215
Pi_216A4	Pi_216
Pi_217A4	Pi_217
Pi_217A5	Pi_217
Pi_217A6	Pi_217
Pi_218A4	Pi_218
Pi_218A5	Pi_218
Pi_218A6	Pi_218
Pi_219A3	Pi_219
Pi_21A3	Pi_21
Pi_21A4	Pi_21
Pi_21A5	Pi_21
Pi_220A2	Pi_220
Pi_220A3	Pi_220
Pi_221A3	Pi_221
Pi_221A4	Pi_221
Pi_222A6	Pi_222
Pi_222A7	Pi_222
Pi_223A3	Pi_223
Pi_223A4	Pi_223
Pi_223A5	Pi_223
Pi_224A3	Pi_224
Pi_224A5	Pi_224
Pi_225A4	Pi_225
Pi_225A5	Pi_225
Pi_225A6	Pi_225
Pi_226A4	Pi_226
Pi_226A5	Pi_226
Pi_226A6	Pi_226
Pi_227A3	Pi_227
Pi_227A4	Pi_227
Pi_227A5	Pi_227
Pi_228A4	Pi_228
Pi_228A6	Pi_228
Pi_229A3	Pi_229
Pi_229A4	Pi_229
Pi_22A6	Pi_22
Pi_230A3	Pi_230
Pi_230A4	Pi_230
Pi_230A5	Pi_230
Pi_231A4	Pi_231
Pi_231A5	Pi_231
Pi_231A6	Pi_231
Pi_232A4	Pi_232
Pi_232A5	Pi_232
Pi_232A6	Pi_232
Pi_233A2	Pi_233
Pi_233A3	Pi_233
Pi_234A4	Pi_234
Pi_234A5	Pi_234
Pi_234A6	Pi_234
Pi_235A4	Pi_235
Pi_235A5	Pi_235
Pi_235A6	Pi_235
Pi_236A3	Pi_236
Pi_236A4	Pi_236
Pi_237A3	Pi_237
Pi_237A4	Pi_237
Pi_237A5	Pi_237
Pi_238A4	Pi_238
Pi_238A5	Pi_238
Pi_238A6	Pi_238
Pi_239A4	Pi_239
Pi_239A5	Pi_239
Pi_239A6	Pi_239
Pi_23A3	Pi_23
Pi_23A4	Pi_23
Pi_240A4	Pi_240
Pi_240A5	Pi_240
Pi_240A6	Pi_240
Pi_241A2	Pi_241
Pi_241A3	Pi_241
Pi_242A2	Pi_242
Pi_242A3	Pi_242
Pi_242A4	Pi_242
Pi_243A4	Pi_243
Pi_243A5	Pi_243
Pi_243A6	Pi_243
Pi_244A3	Pi_244
Pi_244A4	Pi_244
Pi_244A5	Pi_244
Pi_245A4	Pi_245
Pi_245A5	Pi_245
Pi_245A6	Pi_245
Pi_246A4	Pi_246
Pi_246A5	Pi_246
Pi_246A6	Pi_246
Pi_247A2	Pi_247
Pi_247A3	Pi_247
Pi_248A2	Pi_248
Pi_248A3	Pi_248
Pi_249A4	Pi_249
Pi_249A5	Pi_249
Pi_249A6	Pi_249
Pi_24A3	Pi_24
Pi_24A4	Pi_24
Pi_250A2	Pi_250
Pi_250A3	Pi_250
Pi_251A3	Pi_251
Pi_251A4	Pi_251
Pi_252A3	Pi_252
Pi_252A4	Pi_252
Pi_253A4	Pi_253
Pi_253A5	Pi_253
Pi_253A6	Pi_253
Pi_254A4	Pi_254
Pi_254A5	Pi_254
Pi_254A6	Pi_254
Pi_255A3	Pi_255
Pi_255A4	Pi_255
Pi_255A5	Pi_255
Pi_256A3	Pi_256
Pi_256A4	Pi_256
Pi_257A3	Pi_257
Pi_257A4	Pi_257
Pi_258A3	Pi_258
Pi_258A5	Pi_258
Pi_259A3	Pi_259
Pi_259A4	Pi_259
Pi_25A2	Pi_25
Pi_25A3	Pi_25
Pi_260A3	Pi_260
Pi_260A4	Pi_260
Pi_260A5	Pi_260
Pi_261A4	Pi_261
Pi_261A5	Pi_261
Pi_261A6	Pi_261
Pi_262A4	Pi_262
Pi_262A6	Pi_262
Pi_263A3	Pi_263
Pi_263A4	Pi_263
Pi_264A2	Pi_264
Pi_264A3	Pi_264
Pi_265A2	Pi_265
Pi_265A3	Pi_265
Pi_266A3	Pi_266
Pi_266A4	Pi_266
Pi_266A5	Pi_266
Pi_267A6	Pi_267
Pi_267A8	Pi_267
Pi_268A3	Pi_268
Pi_268A4	Pi_268
Pi_269A2	Pi_269
Pi_269A3	Pi_269
Pi_26A3	Pi_26
Pi_26A4	Pi_26
Pi_270A7	Pi_270
Pi_270A8	Pi_270
Pi_271A4	Pi_271
Pi_271A5	Pi_271
Pi_271A6	Pi_271
Pi_272A4	Pi_272
Pi_272A5	Pi_272
Pi_272A6	Pi_272
Pi_273A4	Pi_273
Pi_273A5	Pi_273
Pi_273A6	Pi_273
Pi_274A3	Pi_274
Pi_274A4	Pi_274
Pi_274A5	Pi_274
Pi_275A4	Pi_275
Pi_275A5	Pi_275
Pi_275A6	Pi_275
Pi_276A3	Pi_276
Pi_276A4	Pi_276
Pi_277A3	Pi_277
Pi_277A4	Pi_277
Pi_278A3	Pi_278
Pi_278A4	Pi_278
Pi_279A4	Pi_279
Pi_279A5	Pi_279
Pi_279A6	Pi_279
Pi_27A3	Pi_27
Pi_27A4	Pi_27
Pi_280A3	Pi_280
Pi_280A4	Pi_280
Pi_280A5	Pi_280
Pi_281A3	Pi_281
Pi_281A4	Pi_281
Pi_281A5	Pi_281
Pi_28A3	Pi_28
Pi_29A3	Pi_29
Pi_29A4	Pi_29
Pi_2A3	Pi_2
Pi_2A4	Pi_2
Pi_30A3	Pi_30
Pi_30A4	Pi_30
Pi_31A2	Pi_31
Pi_31A3	Pi_31
Pi_32A2	Pi_32
Pi_32A3	Pi_32
Pi_33A2	Pi_33
Pi_33A3	Pi_33
Pi_34A2	Pi_34
Pi_35A3	Pi_35
Pi_35A4	Pi_35
Pi_36A3	Pi_36
Pi_36A4	Pi_36
Pi_37A3	Pi_37
Pi_37A4	Pi_37
Pi_38A3	Pi_38
Pi_38A4	Pi_38
Pi_39A4	Pi_39
Pi_39A5	Pi_39
Pi_39A6	Pi_39
Pi_3A3	Pi_3
Pi_3A4	Pi_3
Pi_40A2	Pi_40
Pi_40A3	Pi_40
Pi_41A3	Pi_41
Pi_41A4	Pi_41
Pi_42A3	Pi_42
Pi_42A4	Pi_42
Pi_43A3	Pi_43
Pi_44A4	Pi_44
Pi_45A4	Pi_45
Pi_45A5	Pi_45
Pi_46A3	Pi_46
Pi_46A4	Pi_46
Pi_46A4b	Pi_46A4b
Pi_47A2	Pi_47
Pi_47A3	Pi_47
Pi_48A3	Pi_48
Pi_48A4	Pi_48
Pi_49A3	Pi_49
Pi_49A4	Pi_49
Pi_50A2	Pi_50
Pi_50A3	Pi_50
Pi_51A3	Pi_51
Pi_51A4	Pi_51
Pi_52A3	Pi_52
Pi_52A4	Pi_52
Pi_53A3	Pi_53
Pi_53A4	Pi_53
Pi_54A2	Pi_54
Pi_54A3	Pi_54
Pi_54A4	Pi_54
Pi_55A2	Pi_55
Pi_55A3	Pi_55
Pi_56A3	Pi_56
Pi_56A4	Pi_56
Pi_56A5	Pi_56
Pi_57A4	Pi_57
Pi_57A5	Pi_57
Pi_57A6	Pi_57
Pi_581A4	Pi_581
Pi_582A3	Pi_582
Pi_582A4	Pi_582
Pi_583A3	Pi_583
Pi_584A3	Pi_584
Pi_584A4	Pi_584
Pi_585A3	Pi_585
Pi_585A4	Pi_585
Pi_586A2	Pi_586
Pi_586A3	Pi_586
Pi_58A2	Pi_58
Pi_58A3	Pi_58
Pi_59A3	Pi_59
Pi_59A4	Pi_59
Pi_5A4	Pi_5
Pi_60A3	Pi_60
Pi_60A4	Pi_60
Pi_61A3	Pi_61
Pi_61A4	Pi_61
Pi_62A2	Pi_62
Pi_62A3	Pi_62
Pi_63A3	Pi_63
Pi_63A4	Pi_63
Pi_64A4	Pi_64
Pi_64A5	Pi_64
Pi_64A6	Pi_64
Pi_65A3	Pi_65
Pi_65A4	Pi_65
Pi_66A2	Pi_66
Pi_66A3	Pi_66
Pi_67A3	Pi_67
Pi_67A4	Pi_67
Pi_67A5	Pi_67
Pi_68A4	Pi_68
Pi_68A5	Pi_68
Pi_68A6	Pi_68
Pi_69A3	Pi_69
Pi_69A4	Pi_69
Pi_6A2	Pi_6
Pi_6A3	Pi_6
Pi_70A3	Pi_70
Pi_70A4	Pi_70
Pi_70A5	Pi_70
Pi_71A4	Pi_71
Pi_71A5	Pi_71
Pi_71A6	Pi_71
Pi_72A3	Pi_72
Pi_72A4	Pi_72
Pi_72A5	Pi_72
Pi_73A3	Pi_73
Pi_73A4	Pi_73
Pi_74A4	Pi_74
Pi_74A5	Pi_74
Pi_74A6	Pi_74
Pi_75A2	Pi_75
Pi_75A3	Pi_75
Pi_76A2	Pi_76
Pi_77A3	Pi_77
Pi_77A4	Pi_77
Pi_78A3	Pi_78
Pi_78A4	Pi_78
Pi_79A3	Pi_79
Pi_79A4	Pi_79
Pi_7A3	Pi_7
Pi_7A4	Pi_7
Pi_80A2	Pi_80
Pi_80A3	Pi_80
Pi_81A3	Pi_81
Pi_81A4	Pi_81
Pi_82A2	Pi_82
Pi_82A3	Pi_82
Pi_83A3	Pi_83
Pi_83A4	Pi_83
Pi_83A5	Pi_83
Pi_84A3	Pi_84
Pi_84A4	Pi_84
Pi_85A3	Pi_85
Pi_85A4	Pi_85
Pi_86A3	Pi_86
Pi_86A4	Pi_86
Pi_87A5	Pi_87
Pi_87A6	Pi_87
Pi_88A2	Pi_88
Pi_88A3	Pi_88
Pi_89A2	Pi_89
Pi_89A3	Pi_89
Pi_8A6	Pi_8
Pi_8A8	Pi_8
Pi_90A3	Pi_90
Pi_90A4	Pi_90
Pi_91A3	Pi_91
Pi_91A4	Pi_91
Pi_92A3	Pi_92
Pi_92A4	Pi_92
Pi_93A4	Pi_93
Pi_93A5	Pi_93
Pi_93A6	Pi_93
Pi_94A3	Pi_94
Pi_94A4	Pi_94
Pi_95A2	Pi_95
Pi_95A3	Pi_95
Pi_96A4	Pi_96
Pi_96A5	Pi_96
Pi_96A6	Pi_96
Pi_97A2	Pi_97
Pi_97A3	Pi_97
Pi_98A3	Pi_98
Pi_98A4	Pi_98
Pi_99A3	Pi_99
Pi_99A4	Pi_99
Pi_9A2	Pi_9
Pi_9A3	Pi_9
